Product Name,Current Date,Current Price,Old Date,Old Price,Category
SteelSeries Rival 3 RGB Kablolu Optik Oyuncu Mouse,10/06/2023,600,10/06/2022,289,mouse
SteelSeries Rival 5 RGB Kablolu Optik Oyuncu Mouse,10/06/2023,1199,10/06/2022,629,mouse
Xiaomi Mi Band 6,10/06/2023,838,10/06/2022,449,akilli-bileklik
Pro Plan Sterilised Somonlu ve Ton Balıklı 10 kg Yetişkin Kedi Maması,10/06/2023,1619,10/06/2022,760,kedi-mamasi
Nutella 750 gr Kakaolu Fındık Kreması,10/06/2023,95,11/06/2022,44,ezme-krem-cikolata
Perwoll Siyah & Doku Sıvı Deterjan 50 Yıkama 3 lt,10/06/2023,69,10/06/2022,45,sivi-deterjan
Royal Canin Sterilised 37 15 kg Kısırlaştırılmış Yetişkin Kuru Kedi Maması,10/06/2023,1775,10/06/2022,975,kedi-mamasi
N&D Ancestral Grain Düşük Tahıllı Medium & Maxi Kuzu Etli ve Yaban Mersinli 12 kg Yetişkin Köpek Maması,10/06/2023,1105,10/06/2022,692,kopek-mamasi
Familia Plus 3 Katlı 32'li Tuvalet Kağıdı,10/06/2023,144,10/06/2022,94,tuvalet-kagidi
Solo 12'li Kağıt Havlu,10/06/2023,89,10/06/2022,69,kagit-havlu
Xiaomi Mi Band 5,10/06/2023,799,10/06/2022,349,akilli-bileklik
Xiaomi Mi Band 7,10/06/2023,819,04/07/2022,889,akilli-bileklik
Pro Plan Sterilised Somonlu ve Ton Balıklı 1 kg Yetişkin Kedi Maması - Açık Paket,10/06/2023,170,10/06/2022,94,kedi-mamasi
Pro Plan Sterilised Somonlu ve Ton Balıklı 1.5 kg Yetişkin Kedi Maması,10/06/2023,340,10/06/2022,149,kedi-mamasi
Pro Plan Sterilised Somonlu ve Ton Balıklı 2 kg Yetişkin Kedi Maması- Açık Paket,10/06/2023,359,10/06/2022,186,kedi-mamasi
Pro Plan Sterilised Somonlu ve Ton Balıklı 3 kg Yetişkin Kedi Maması,10/06/2023,557,10/06/2022,281,kedi-mamasi
Pro Plan Sterilised Somonlu ve Ton Balıklı 4 kg Yetişkin Kedi Maması - Açık Paket,10/06/2023,679,10/06/2022,345,kedi-mamasi
Pro Plan Sterilised Somonlu ve Ton Balıklı 5 kg Yetişkin Kedi Maması - Açık Paket,10/06/2023,829,10/06/2022,429,kedi-mamasi
Nutella 400 gr Kakaolu Fındık Kreması,10/06/2023,55,11/06/2022,23,ezme-krem-cikolata
Perwoll Sıvı Deterjan 16 Yıkama 1 lt,10/06/2023,30,11/06/2022,21,sivi-deterjan
Perwoll Siyah & Doku Siyahlar için Sıvı Deterjan 16 Yıkama 1 lt,10/06/2023,70,11/06/2022,21,sivi-deterjan
Perwoll Beyaz Etki Beyazlar için Sıvı Deterjan 16 Yıkama 1 lt,10/06/2023,89,11/06/2022,21,sivi-deterjan
Perwoll Renk & Doku Renkliler için Sıvı Deterjan 16 Yıkama 1 lt,10/06/2023,30,11/06/2022,21,sivi-deterjan
Perwoll Yünlüler ve İpekler Renkliler için Sıvı Deterjan 16 Yıkama 1 lt,10/06/2023,45,10/06/2022,24,sivi-deterjan
Perwoll Siyah ve Doku Sıvı Deterjan 30 Yıkama 1.8 lt,10/06/2023,123,15/11/2022,68,sivi-deterjan
Perwoll Siyah & Doku Siyahlar için Sıvı Deterjan 33 Yıkama 2 lt,10/06/2023,74,11/06/2022,38,sivi-deterjan
Perwoll Hassas Bakım & Ferahlık Sıvı Deterjan 33 Yıkama 2 lt,10/06/2023,74,11/06/2022,38,sivi-deterjan
Perwoll Renk & Doku Renkliler için Sıvı Deterjan 33 Yıkama 2 lt,10/06/2023,75,11/06/2022,38,sivi-deterjan
Perwoll Sıvı Deterjan 45 Yıkama 2.7 lt,10/06/2023,91,10/06/2022,36,sivi-deterjan
